Year,Round,Team,Score,Margin,Rainfall(mm),,,
2014,R3,Adelaide,71,-63,0,,,
2014,R4,Adelaide,136,86,0,,,
2014,R5,Adelaide,137,65,0,,,
2014,R6,Adelaide,92,9,0,,,
2014,R7,Adelaide,67,-3,11,,,
2014,R9,Adelaide,76,21,0,,,
2013,R1,Adelaide,82,-35,0.4,,,
2013,R10,Adelaide,59,-7,39,,,
2013,R11,Adelaide,50,-77,0,,,
2013,R12,Adelaide,72,-38,0,,,
2013,R14,Adelaide,111,28,10.2,,,
2013,R15,Adelaide,69,-6,3.4,,,
2013,R16,Adelaide,84,-27,0,,,
2013,R17,Adelaide,94,2,3.6,,,
2013,R18,Adelaide,53,-22,17.6,,,
2013,R19,Adelaide,103,-4,5.2,,,
2013,R2,Adelaide,96,19,2,,,
2013,R20,Adelaide,79,9,0,,,
2013,R21,Adelaide,114,-17,0,,,
2013,R22,Adelaide,120,68,2.4,,,
2013,R23,Adelaide,129,86,7.4,,,
2013,R3,Adelaide,109,-9,0,,,
2013,R4,Adelaide,80,52,7.8,,,
2013,R5,Adelaide,83,-32,0,,,
2013,R6,Adelaide,78,-11,0,,,
2013,R7,Adelaide,187,135,0,,,
2013,R8,Adelaide,87,40,0,,,
2013,R9,Adelaide,125,1,0,,,
2012,PF,Adelaide,92,-5,1,,,
2012,QF,Adelaide,42,-29,0.2,,,
2012,R1,Adelaide,137,69,0,,,
2012,R10,Adelaide,111,29,0,,,
2012,R12,Adelaide,115,4,0,,,
2012,R13,Adelaide,89,-32,0,,,
2012,R14,Adelaide,106,19,6,,,
2012,R15,Adelaide,116,58,0,,,
2012,R16,Adelaide,178,119,0,,,
2012,R17,Adelaide,124,49,0.2,,,
2012,R18,Adelaide,75,-27,2.6,,,
2012,R19,Adelaide,104,4,0.6,,,
2012,R2,Adelaide,82,18,0,,,
2012,R20,Adelaide,119,28,0,,,
2012,R21,Adelaide,85,-10,0,,,
2012,R22,Adelaide,150,69,0.6,,,
2012,R23,Adelaide,153,91,0,,,
2012,R3,Adelaide,84,-56,0,,,
2012,R4,Adelaide,96,46,0,,,
2012,R5,Adelaide,110,19,0,,,
2012,R6,Adelaide,99,5,0,,,
2012,R7,Adelaide,122,50,0,,,
2012,R8,Adelaide,124,69,0.2,,,
2012,R9,Adelaide,49,-26,7.2,,,
2012,SF,Adelaide,81,10,0,,,
2020,PF,Brisbane Lions,42,-40,0,,,
2020,QF,Brisbane Lions,69,15,0,,,
2020,R1,Brisbane Lions,62,-28,0.2,,,
2020,R10,Brisbane Lions,41,-41,0,,,
2020,R11,Brisbane Lions,96,24,11.6,,,
2020,R12,Brisbane Lions,53,1,2,,,
2020,R13,Brisbane Lions,50,2,0,,,
2020,R15,Brisbane Lions,42,8,0,,,
2020,R16,Brisbane Lions,88,45,0,,,
2020,R17,Brisbane Lions,73,32,1.6,,,
2020,R18,Brisbane Lions,78,17,0.4,,,
2020,R2,Brisbane Lions,81,12,0,,,
2020,R3,Brisbane Lions,74,30,1.8,,,
2020,R4,Brisbane Lions,83,37,0.4,,,
2020,R5,Brisbane Lions,85,37,0,,,
2020,R6,Brisbane Lions,46,-27,0.2,,,
2020,R7,Brisbane Lions,88,20,0,,,
2020,R8,Brisbane Lions,53,4,100.2,,,
2020,R9,Brisbane Lions,91,63,0,,,
2019,QF,Brisbane Lions,65,-47,0,,,
2019,R1,Brisbane Lions,102,44,0,,,
2019,R10,Brisbane Lions,72,-1,0,,,
2019,R11,Brisbane Lions,85,19,0,,,
2019,R12,Brisbane Lions,63,-15,0.1,,,
2019,R14,Brisbane Lions,115,56,1.8,,,
2019,R15,Brisbane Lions,107,33,0.6,,,
2019,R16,Brisbane Lions,94,20,0,,,
2019,R17,Brisbane Lions,97,48,3.6,,,
2019,R18,Brisbane Lions,87,12,0,,,
2019,R19,Brisbane Lions,87,27,0,,,
2019,R2,Brisbane Lions,107,20,2,,,
2019,R20,Brisbane Lions,98,18,0,,,
2019,R21,Brisbane Lions,144,91,0,,,
2019,R22,Brisbane Lions,75,1,0,,,
2019,R23,Brisbane Lions,55,-27,1.2,,,
2019,R3,Brisbane Lions,107,17,0,,,
2019,R4,Brisbane Lions,65,-47,0,,,
2019,R5,Brisbane Lions,61,-62,0.2,,,
2019,R6,Brisbane Lions,111,49,0,,,
2019,R7,Brisbane Lions,103,22,0,,,
2019,R8,Brisbane Lions,76,-16,13,,,
2019,R9,Brisbane Lions,93,1,1.6,,,
2019,SF,Brisbane Lions,80,-3,0,,,
2018,R1,Brisbane Lions,82,-25,0.6,,,
2018,R10,Brisbane Lions,49,-18,0,,,
2018,R11,Brisbane Lions,87,-54,0,,,
2018,R12,Brisbane Lions,62,-22,0.8,,,
2018,R14,Brisbane Lions,82,-27,0,,,
2018,R15,Brisbane Lions,119,55,0,,,
2018,R16,Brisbane Lions,120,65,2.6,,,
