Year,Team,Gm,K,HB,D,M,G,GA,I50,BH,T,HO,FF,FA,CL,CG,R50,AF,SC,CP,UP,ED,DE%,CM,MI5,1%,BO,CCL,SCL,MG,TO,ITC,T50
2018,Cats,23,210.1,170.7,380.8,89.5,13.2,9.6,53.2,11.7,66.9,35.8,21.4,21.3,37.3,55.6,38,1590.3,1699.3,150,233.6,276.1,72.5,11.8,12,50.5,4.1,11.5,25.8,5801.8,70.3,70.7,11.3
2018,Crows,22,223.6,159.4,382.9,91.5,12.7,8.3,52.8,12.1,64.6,41,19.3,17.1,37.4,49.3,36.7,1617.2,1662.6,153.6,227.9,275.9,72.1,11.5,9.4,47.2,5.3,12.1,25.4,5944.1,74.8,77,11.4
2018,Demons,25,209.6,176.6,386.2,86.4,14.8,10.5,59.8,12.8,69.2,50.5,20.5,20.8,38.4,58,33,1625.8,1708.7,160,229.4,274.6,71.1,13.1,14.6,46.8,4,14,24.4,6072.5,71.8,75.7,12.4
2018,Dockers,22,202.9,160.2,363.1,91.6,10.2,7.3,48,9.6,60.2,41.4,19.6,21.6,34.9,56.8,37.5,1510.2,1583,135.9,231.4,265.1,73,9.7,9.9,47.2,4.2,11.9,23,5373.1,71.9,68.2,8.1
2018,Eagles,25,227.2,128.9,356,101.1,13.4,9,53.4,11.3,61,45,22.4,19.1,36.6,50.5,36.7,1586.3,1681,143.8,212.9,259.4,72.9,13.9,11.6,49.6,5,12.2,24.4,5795.2,67.7,72.2,10.7
2018,Giants,24,219,158.9,377.9,88.5,12,8.6,53.8,13.1,67.2,35.9,18.8,21.1,39.4,56.3,39.9,1582.5,1690.9,149.7,228.2,271.1,71.7,11.4,10.6,54.7,7.2,12,27.4,6024.5,70.2,73.8,11.6
2018,Hawks,24,218.9,157.6,376.5,93,12.9,8.5,54.1,10.6,68.9,41,20.9,20.8,36.4,54.9,30.8,1611.9,1695.8,142.5,234.8,277.1,73.6,9.2,11.8,56.6,6.4,12,24.4,5436.7,71.8,72.9,12.7
2018,Kangaroos,22,201.4,166.4,367.8,82.7,12.9,8.8,52.1,10.9,62.4,41.6,22.3,18.4,34.8,55.9,35.1,1530.3,1632.1,148.6,220.6,261.4,71.1,11.6,11.3,44.1,5.4,12.3,22.4,5496.5,72,74.8,10.2
2018,Lions,22,215.1,158.4,373.4,99.3,12.1,9.1,51,10.4,58.2,43.1,22,20.8,37.6,54.4,38.1,1576.6,1635.7,136.2,235.5,277.2,74.2,10,11.9,51.6,3.5,12.8,24.8,5499.2,68.3,65.5,9.9
2018,Magpies,26,217.6,181.5,399.1,92.1,13.3,9,54.7,11,68.3,46.6,22.1,17.9,38.1,56.8,35.8,1668.6,1729.9,152.5,248.7,292.9,73.4,12,11.2,52.2,6.6,12.2,25.9,5812.2,74.8,75.2,10
2018,Power,22,219.6,155.9,375.6,90.4,11.8,8.3,53.4,10.3,70,40.7,20.1,21.4,39.8,57.5,38.9,1598.2,1696.5,149.4,226.5,264.4,70.4,10.7,11.2,60.8,6,12.4,27.4,5722,73.4,73.8,12.7
2018,Saints,22,207.3,181.4,388.7,94,10.2,7.3,51.7,11.7,60,29.4,18.6,21.1,33,54.6,35.4,1562.5,1610.5,135.6,258.3,287.6,74,8.6,10.7,48.1,7.9,12.2,20.8,5462.4,69.1,68.7,9.4
2018,Suns,22,202.7,137.1,339.8,77.4,8.2,4.7,47,10.1,69.3,45.4,20.7,22.7,37.5,63.5,43,1447.5,1482.5,144.1,193.8,226.1,66.5,8.1,7.5,52.2,4.7,11.3,26.2,5413.9,77,71.6,11.9
2018,Swans,23,210.7,161,371.6,89,11.8,7.5,50,9.6,64.8,32,20.4,21.8,36.8,55.9,43.2,1546.3,1670.3,147,222.4,266.8,71.8,11.7,10.3,46.6,4.7,11.7,25.1,5691.4,72,71,9.9
2018,Tigers,24,207.2,159.6,366.8,81.2,13.8,9.6,59,12.6,62.4,28,17.5,22.6,33.7,59.7,34.8,1504.3,1657,148,218.5,261.6,71.3,11.1,13,54.9,8.5,12.4,21.3,6088.2,73.5,83,12.1
2019,Blues,22,218.8,134.9,353.7,90.5,10.5,7.2,48,10.1,62.6,38.7,18.1,20.2,40.4,57.7,41.1,1515.6,1581.5,142.5,202,242.9,68.7,12.1,9.7,48.4,5.6,11.7,28.7,5536.1,72.7,71.2,9.3
2019,Bombers,23,214.2,153.1,367.3,87.6,11.1,7.3,50.2,9.9,61.7,32.2,18.6,19,36.4,56.4,42.1,1526.8,1611.7,142.4,218,263,71.6,11.9,9.3,50.2,11.4,12.3,24.1,5750.6,74.2,71.5,9.3
2019,Bulldogs,23,223,167.3,390.4,92.3,12.5,9.2,55.4,11.9,62.1,24.4,20.8,16.7,36.9,50.4,37.6,1609,1687,141,241.7,289.7,74.2,10.3,12.7,54.2,6.6,12.1,24.8,5880.4,70.1,70.3,10.1
2019,Cats,25,217.4,147.4,364.8,90.4,12.8,9.3,52.2,10.7,66.2,35.7,18.8,17.8,39.7,53.2,39.2,1569.8,1710.2,150.6,208.8,261.5,71.7,12.4,12.1,50.6,4.3,12,27.7,5727.7,68,69.4,10.8
2019,Crows,22,224.8,168.3,393.1,94.6,11.6,7.5,51,10.9,63.3,41,18.4,15.1,38.1,50.7,40.9,1640.6,1657.3,147.6,239.7,281.9,71.7,11.1,9.9,46.2,5,11.5,26.6,5745.8,73,72.3,10.1
2019,Demons,22,212.1,151.3,363.3,87.1,10.1,7.5,54,10.5,61.2,47,18.6,19.8,39.1,59.4,37.7,1520.4,1590.5,148.9,210.9,251.8,69.3,10.3,11.6,49.8,2.9,12.6,26.5,5556.4,74.1,70.5,12.1
2019,Dockers,22,216.1,158.4,374.5,85.5,10.2,6.8,51.5,10.4,58,39,18.3,17.6,37.8,54.7,39.5,1528,1607.1,151.8,220.5,260.4,69.5,12.2,10.7,55.6,4,11.6,26.2,5687.5,76.1,74.3,8.7
2019,Eagles,24,226.3,125.7,352,99.3,12.9,8.8,50.5,9.6,57.7,36.4,19,18.8,39.4,52.4,39.4,1542.6,1651.9,135.8,212.1,255.4,72.6,11.7,10.8,56.7,5.8,12.2,27.2,5470.8,68.6,65.9,9.2
2019,Giants,26,232,146.8,378.9,102.7,12.4,8.8,51.5,10.4,63.9,38.9,17.1,21.1,41.9,57.7,40.4,1628.8,1729.9,144,231.6,269.7,71.2,10.4,11.2,51.7,6.6,12.3,29.6,5705,68.4,70.2,10.7
2019,Hawks,22,216.7,151.3,368,91.7,11.4,8.4,52.7,11,64.6,43.1,17.4,19.3,34.7,54.4,37.2,1565.4,1637.8,139.9,223.2,266.7,72.5,13.8,10.8,51,4.3,10.1,24.7,5670.9,69.9,74.9,11.9
2019,Kangaroos,22,202.7,174.2,376.9,81.4,12.1,8.5,51.8,10.6,57.2,39.4,19.4,19.1,35.9,53.5,37.4,1511.9,1663.4,145.6,231.3,279.6,74.2,11,11.9,49,4.7,11.9,23.9,5564.5,67.6,69.9,9
2019,Lions,24,225.6,128.2,353.8,89.5,12.8,8,56,12.8,63.7,43.2,20.7,20.8,41.9,57,39.2,1544.4,1680.3,148.2,198.3,254.8,72,12.1,10.8,51.6,3.4,12.3,29.6,5881.9,66.8,71.8,13.9
2019,Magpies,24,230,171.3,401.4,104.2,12.1,8,51.8,10.7,63.1,47,19.8,16.1,36.3,54.2,38,1697.4,1729.2,146.5,250.8,291.8,72.7,12.2,12.3,49.8,5.9,10.7,25.7,5427.3,69.5,72,11.2
2019,Power,22,227.7,167.4,395.1,87.8,11.7,8.1,58.1,11.9,64.4,43.7,19.6,19.8,41.4,56,36.3,1622.9,1703.4,155.6,233.6,278.9,70.6,10.1,11.8,57.5,3.6,13.1,28.4,5913.3,77.4,78.2,13.3
2019,Saints,22,213.3,147.1,360.4,90.9,10.6,8,51,11.2,64.5,31.6,18.1,19.7,38.4,51.8,37,1527.8,1624.4,140,217.8,263.3,73.1,10.8,11.6,48.6,7,11.8,26.6,5497.6,67.4,68.1,10
2019,Suns,22,210.4,133.1,343.5,86.7,8.8,5.7,45.2,8.5,63.9,53.3,19.9,17.4,40.2,55.7,41.5,1494.4,1501.4,141.4,196.9,234.7,68.3,10.1,8.8,47,3.8,11.7,28.5,5315.2,70.7,67.5,10.7
2019,Swans,22,218.1,152.8,370.9,90.9,11.3,7.7,47.7,9.9,66.1,28.6,17.7,20.4,34.8,55.9,44.3,1558,1655.8,138.1,221.9,266.4,71.8,12.2,12.1,47,5.5,10.5,24.3,5770.4,72,70.6,9.6
2019,Tigers,25,212.3,153.5,365.8,88,12.9,9.2,55.8,10.9,62.8,32.2,18.4,19.6,34,58.3,38.3,1536.4,1645.1,137.4,222,263.2,72,10.4,12.1,52.1,9.7,11.8,22.2,5976.9,71.8,74.6,10.1
2020,Blues,17,180.6,100.6,281.2,70.6,8.6,5.5,44.2,8.3,52.9,28.1,16.5,17.1,31.7,49.4,31.1,1217.9,1615.2,120.7,154.8,188.1,66.9,10.1,8.8,42.4,3.3,10.1,21.6,4658.4,60.9,60.6,10.1
2020,Bombers,17,167.9,134.5,302.4,65.9,8,5.5,39.8,7.1,49.5,26.4,14.2,17.1,30.2,48.1,32.6,1211.5,1590.8,111.3,182.6,218.9,72.4,7.9,8.3,41.5,5.8,10.3,19.9,4558.2,58.7,56.3,9.2
2020,Bulldogs,18,167.1,142.9,309.9,64.7,9.3,6.1,42.9,8.8,50.1,18.8,15.9,15.1,29.7,41.2,29.6,1233.8,1677.2,117.9,190.7,224.9,72.6,8.9,9.4,44.1,3.7,9.6,20.1,4562.7,54.5,54.7,8.9
2020,Cats,21,189.3,121.1,310.4,83.7,10.5,8.1,43.1,8.9,52,29.8,14.6,16.6,33.9,46.1,29.8,1333.5,1783.3,121,186.5,222.3,71.6,9.1,10.7,42.6,2,10.8,23.1,4655.4,54,56,9.4
2020,Crows,17,156.5,125.9,282.5,59.1,6.8,4.2,36.1,7.7,53.2,31.5,17.6,16.2,26.8,45,34.2,1158.8,1534.5,114.1,163.2,201.3,71.3,8.8,5.7,37.7,2.1,7.2,19.6,4423.7,57.9,57.9,7.8
2020,Demons,17,173.8,122.7,296.5,71.3,9.1,6.3,42.5,7.8,44,33.6,15.8,15.8,28.4,47.9,31,1220.1,1627.1,121,171.7,208.5,70.3,9.5,9.1,42.8,1.4,9.3,19.1,4692.7,63.3,62.9,8.5
2020,Dockers,17,174.9,125,299.9,72.4,7.5,5,37.4,6.1,48.8,29,16.5,14,28.9,44.3,34.2,1240,1663.9,119.3,178.3,217.1,72.4,10.3,8.3,42.3,2.9,8.1,20.9,4468.9,59.3,60.8,8.1
2020,Eagles,18,182.4,103.9,286.3,78.8,9.6,6.3,39,7.3,45.7,35.3,15.2,14.2,31.7,42.3,32.5,1245.3,1676.8,114.7,171,205.6,71.8,10.6,8.9,49.8,2.8,11.3,20.4,4478.4,57.4,56.8,8.4
2020,Giants,17,176.8,121.7,298.5,73.2,8.5,5.9,38.2,8.1,52.2,26,16.5,17.8,30.7,48.1,33.8,1248.5,1682.2,118,177.1,207.6,69.5,8.5,8,46.5,2.8,9.5,21.2,4546.2,56.8,57.1,8.5
2020,Hawks,17,164.3,123.9,288.2,66,8.7,5.8,39.4,7.1,48.1,29.3,13.5,17.6,25.7,46.5,31.1,1178.1,1546.1,110.1,173.8,205.7,71.4,8.3,7.7,44.6,2.4,8.8,16.9,4561.5,60.3,60.3,7.7
2020,Kangaroos,17,166.6,133.5,300.1,63.8,7.3,5,39.1,6.7,49.5,30.4,18.5,16.1,29.8,47.2,34,1205.6,1599.9,118.8,176.5,216.1,72,8.7,7.3,37.6,3.5,9.9,19.9,4488.8,61.5,55.8,8
2020,Lions,19,181.3,98.2,279.5,75.6,9.5,6,45.7,11,52,30.8,16.3,15.8,31.9,41.8,31.1,1241,1699.9,118.2,156.5,193.7,69.3,9.9,9.7,42.2,1.6,9.7,22.2,4743.1,56.6,60.2,9.7
2020,Magpies,19,173.7,141.3,314.9,70.8,8.2,5.3,41.2,7.2,50.9,36.3,17.3,13.4,29.4,44.5,27.4,1287.3,1680.8,121,192.1,226.2,71.8,8.8,7,43,2.7,8.8,20.6,4408.7,58.9,60.3,8.6
2020,Power,19,181.2,127.5,308.7,66.3,9.6,6.4,46.3,9.8,57,29.9,17.1,14.5,34.5,47,28.3,1295,1738,126.7,178.7,220.7,71.5,9,8.5,45.6,2.4,10.5,24,4759.4,59.8,61.4,10.9
2020,Saints,19,180.9,111.5,292.4,75,9.8,6,41.3,8.1,47.5,32.2,15.4,15.8,29.7,45,31,1246.5,1667.9,115.4,172.3,207.7,71,9.6,9.2,40.2,4.8,10.3,19.5,4546.7,56.3,57.4,10.2
2020,Suns,17,175.8,109.6,285.4,67.1,8.3,4.9,41.4,8.4,48.6,31.4,15.9,16.5,30.4,49.9,34.8,1196.9,1579.5,118.5,161,193.2,67.7,8.5,7,40,3.2,9.7,20.6,4701.2,62.8,62.6,7.6
2020,Swans,17,175,117.8,292.8,65.7,7.5,4.8,39.4,7.2,55,27.2,17.1,16.6,29.2,47.6,37,1223.6,1630.3,118.6,165.3,203.9,69.6,8.9,7.2,43.5,2.8,8.8,20.4,4739.2,63,62.3,8.2
2020,Tigers,21,170.8,119.4,290.2,68.4,9.6,6.6,47,8.7,51.2,26.5,14.9,18.3,26.8,52.4,30.9,1212.2,1649.8,115.9,170.1,206.3,71.1,8.8,9.6,41,6.2,9.5,17.3,5027.6,61.2,63.7,7.3

