Year,Team,Gm,K,HB,D,M,G,GA,I50,BH,T,HO,FF,FA,CL,CG,R50,AF,SC,CP,UP,ED,DE%,CM,MI5,1%,BO,CCL,SCL,MG,TO,ITC,T50
2013,Hawks,25,216.3,157.2,373.5,90.4,16.6,11.4,55.7,12.9,64.5,40.9,18.1,18.1,38.3,42.1,30.9,1607.2,1740.3,142.2,230.6,274,73.4,10.8,15.1,51,7.7,,,,,,
2013,Kangaroos,22,216.4,148.6,364.9,93.8,15.6,9.9,51.1,11.6,58.6,44.2,20.2,17.6,39.2,43.1,33.1,1575.7,1733.5,140.6,221.2,270.6,74.2,10.9,12.6,38.3,12.9,,,,,,
2013,Lions,22,197.1,145.6,342.7,82.7,12.6,8.8,50.8,12.1,63.5,38,17.9,20.9,35.7,47.4,35.5,1462.7,1600.2,135.1,203.9,245.4,71.6,10,10.1,48.3,9.4,,,,,,
2013,Magpies,23,216.7,162.1,378.8,97.8,13.9,10.2,54.9,12.9,65.5,31.3,16.5,15.9,35.1,44.7,32.1,1623.4,1719.5,140.2,237.1,275.7,72.8,11.1,14.2,43.8,15,,,,,,
2013,Power,24,201.3,160.4,361.7,86.3,13.4,9.3,51,11.9,66.3,38.6,18.6,19,37.4,47.2,31,1539.4,1650.2,137.4,222.2,255.1,70.5,9.2,12.9,40,10,,,,,,
2013,Saints,22,204.9,153.7,358.6,92.6,11.4,8.4,46.4,11.1,56.5,33.8,16.1,17.9,33.8,47.7,34.6,1500.1,1618.2,129.6,227.9,261.4,72.9,10.9,12,40.3,18.1,,,,,,
2013,Suns,22,199.9,151.1,350.9,81.5,12.6,8.9,49.6,11.9,60.3,31.6,15.9,17.1,38.1,46.1,34.9,1468.8,1595.3,139.3,208.2,252.4,71.9,9.6,10.4,49.9,13.2,,,,,,
2013,Swans,25,203.1,166,369.1,70.7,14.5,9.9,53.6,11.1,71.1,47.2,17.2,17.4,42.1,45.9,36.4,1546.5,1689.6,155.2,208.1,261.3,70.8,10.5,11.9,48.2,8.1,,,,,,
2013,Tigers,23,220.4,145.6,366,98.2,14.1,9.5,52.3,13.1,56,35.6,18.7,18.5,37.6,44.9,33.2,1565.5,1722.5,136.6,227.6,268,73.2,10.6,13.5,43.6,14.2,,,,,,
2014,Blues,22,210,131.4,341.4,92.3,12.6,8.5,47.5,10.7,61.5,40.9,18,14.4,38.2,41.4,35.5,1515.1,1630.2,133.5,205.9,244.9,71.7,9.6,11.7,51.5,13.8,,,,,,
2014,Bombers,23,224.3,160.2,384.4,107.4,11.9,8.1,53.2,11.5,65.9,36.6,15.7,16,37.5,42.4,32.2,1663.1,1691.8,135,249.3,285.2,74.2,10.6,12.2,47.7,6,,,,,,
2014,Bulldogs,22,191.9,170.1,361.9,71.6,11.7,7.5,49.2,11,70.4,41.1,17.2,16.9,40.1,41.5,31.7,1498.1,1603.7,142.8,215.3,261.3,72.2,8.1,9.4,46.8,9.7,,,,,,
2014,Cats,24,204.3,157.8,362.1,93.5,13.1,9.5,52,12.7,69.8,38.5,17,16.5,33.9,43.3,30,1582.9,1698,136.1,227.2,264.8,73.1,11.5,14,48.1,6.3,,,,,,
2014,Crows,22,207.4,159.4,366.8,85.1,14.3,9.5,55.1,12.9,62.1,40.3,16.9,14.5,39.2,42.2,35.3,1554.4,1670.5,144.9,218.4,264,72,11.2,11,50.4,11.6,,,,,,
2014,Demons,22,195.6,155.5,351.1,88.4,8.6,5.3,40.5,9,63.4,44.8,17.6,17.2,34.2,42.6,35,1486.7,1580.5,130.2,218.4,259.1,73.8,9.9,8.7,48.1,5.2,,,,,,
2014,Dockers,24,207,157,364,88.6,13.2,9.3,50,11.3,65,53.5,14.8,17.3,39.3,42.1,31.9,1566.2,1695.2,144.3,218.2,262.9,72.2,10.9,11.3,44.2,6.8,,,,,,
