Year,Team,Team 2,Margin
2012,Hawthorn,Geelong,-2
2012,Hawthorn,Gold Coast,64
2012,Hawthorn,Greater Western Sydney,162
2012,Hawthorn,Hawthorn,
2012,Hawthorn,Melbourne,66
2012,Hawthorn,North Melbourne,115
2012,Hawthorn,Port Adelaide,59
2012,Hawthorn,Richmond,-62
2012,Hawthorn,St Kilda,35
2012,Hawthorn,Sydney,-13.3
2012,Hawthorn,West Coast,10
2012,Hawthorn,Western Bulldogs,72
2012,Melbourne,Adelaide,-69
2012,Melbourne,Brisbane Lions,-51
2012,Melbourne,Carlton,-58
2012,Melbourne,Collingwood,-42
2012,Melbourne,Essendon,6
2012,Melbourne,Fremantle,-47.5
2012,Melbourne,Geelong,-43
2012,Melbourne,Gold Coast,42
2012,Melbourne,Greater Western Sydney,51.5
2012,Melbourne,Hawthorn,-66
2012,Melbourne,Melbourne,
2012,Melbourne,North Melbourne,-54
2012,Melbourne,Port Adelaide,-28
2012,Melbourne,Richmond,-41
2012,Melbourne,St Kilda,-21.5
2012,Melbourne,Sydney,-101
2012,Melbourne,West Coast,-108
2012,Melbourne,Western Bulldogs,-21
2012,North Melbourne,Adelaide,32
2012,North Melbourne,Brisbane Lions,16
2012,North Melbourne,Carlton,53
2012,North Melbourne,Collingwood,30
2012,North Melbourne,Essendon,11
2012,North Melbourne,Fremantle,-53
2012,North Melbourne,Geelong,17
2012,North Melbourne,Gold Coast,20.5
2012,North Melbourne,Greater Western Sydney,78.5
2012,North Melbourne,Hawthorn,-115
2012,North Melbourne,Melbourne,54
2012,North Melbourne,North Melbourne,
2012,North Melbourne,Port Adelaide,-2
2012,North Melbourne,Richmond,4
2012,North Melbourne,St Kilda,33
2012,North Melbourne,Sydney,-36
2012,North Melbourne,West Coast,-41
2012,North Melbourne,Western Bulldogs,18
2012,Port Adelaide,Adelaide,-38.5
2012,Port Adelaide,Brisbane Lions,-11
2012,Port Adelaide,Carlton,54
2012,Port Adelaide,Collingwood,-24
2012,Port Adelaide,Essendon,-37.5
2012,Port Adelaide,Fremantle,-33.5
2012,Port Adelaide,Geelong,-38
2012,Port Adelaide,Gold Coast,48
2012,Port Adelaide,Greater Western Sydney,-34
2012,Port Adelaide,Hawthorn,-59
2012,Port Adelaide,Melbourne,28
2012,Port Adelaide,North Melbourne,2
2012,Port Adelaide,Port Adelaide,
2012,Port Adelaide,Richmond,-18.5
2012,Port Adelaide,St Kilda,4
2012,Port Adelaide,Sydney,-22
2012,Port Adelaide,West Coast,-48
2012,Port Adelaide,Western Bulldogs,-38
2012,Richmond,Adelaide,-19
2012,Richmond,Brisbane Lions,48
2012,Richmond,Carlton,-24
2012,Richmond,Collingwood,-21
2012,Richmond,Essendon,13
2012,Richmond,Fremantle,-17
2012,Richmond,Geelong,-10
2012,Richmond,Gold Coast,-2
2012,Richmond,Greater Western Sydney,12
2012,Richmond,Hawthorn,62
2012,Richmond,Melbourne,41
2012,Richmond,North Melbourne,-4
2012,Richmond,Port Adelaide,18.5
2012,Richmond,Richmond,
2012,Richmond,St Kilda,8
2012,Richmond,Sydney,29
2012,Richmond,West Coast,-10
2012,Richmond,Western Bulldogs,70
2012,St Kilda,Adelaide,-4
2012,St Kilda,Brisbane Lions,13
2012,St Kilda,Carlton,19.5
2012,St Kilda,Collingwood,-6
2012,St Kilda,Essendon,71
2012,St Kilda,Fremantle,-13
2012,St Kilda,Geelong,-42
2012,St Kilda,Gold Coast,93.5
2012,St Kilda,Greater Western Sydney,128
2012,St Kilda,Hawthorn,-35
2012,St Kilda,Melbourne,21.5
2012,St Kilda,North Melbourne,-33
2012,St Kilda,Port Adelaide,-4
2012,St Kilda,Richmond,-8
2012,St Kilda,St Kilda,
2012,St Kilda,Sydney,-0.5
2012,St Kilda,West Coast,-30
2012,St Kilda,Western Bulldogs,69.5
2012,Sydney,Adelaide,12
2012,Sydney,Brisbane Lions,47
2012,Sydney,Carlton,22
2012,Sydney,Collingwood,9
2012,Sydney,Essendon,4
2012,Sydney,Fremantle,13
2012,Sydney,Geelong,-14
2012,Sydney,Gold Coast,72
2012,Sydney,Greater Western Sydney,78.5
2012,Sydney,Hawthorn,13.3
2012,Sydney,Melbourne,101
2012,Sydney,North Melbourne,36
2012,Sydney,Port Adelaide,22
2012,Sydney,Richmond,-29
2012,Sydney,St Kilda,0.5
2012,Sydney,Sydney,
2012,Sydney,West Coast,52
2012,Sydney,Western Bulldogs,87
2012,West Coast,Adelaide,-49
2012,West Coast,Brisbane Lions,48
2012,West Coast,Carlton,10
2012,West Coast,Collingwood,11
2012,West Coast,Essendon,-61
2012,West Coast,Fremantle,-8.5
2012,West Coast,Geelong,5
2012,West Coast,Gold Coast,126
2012,West Coast,Greater Western Sydney,81
2012,West Coast,Hawthorn,-10
2012,West Coast,Melbourne,108
2012,West Coast,North Melbourne,41
2012,West Coast,Port Adelaide,48
2012,West Coast,Richmond,10
2012,West Coast,St Kilda,30
2012,West Coast,Sydney,-52
2012,West Coast,West Coast,
2012,West Coast,Western Bulldogs,49
2012,Western Bulldogs,Adelaide,-18
2012,Western Bulldogs,Brisbane Lions,-62.5
2012,Western Bulldogs,Carlton,-18
2012,Western Bulldogs,Collingwood,-21
2012,Western Bulldogs,Essendon,-84
2012,Western Bulldogs,Fremantle,-38
2012,Western Bulldogs,Geelong,-27
2012,Western Bulldogs,Gold Coast,38
2012,Western Bulldogs,Greater Western Sydney,42
2012,Western Bulldogs,Hawthorn,-72
2012,Western Bulldogs,Melbourne,21
2012,Western Bulldogs,North Melbourne,-18
2012,Western Bulldogs,Port Adelaide,38
2012,Western Bulldogs,Richmond,-70
2012,Western Bulldogs,St Kilda,-69.5
2012,Western Bulldogs,Sydney,-87
2012,Western Bulldogs,West Coast,-49
2012,Western Bulldogs,Western Bulldogs,
2013,Adelaide,Adelaide,
2013,Adelaide,Brisbane Lions,19
2013,Adelaide,Carlton,-32
2013,Adelaide,Collingwood,-27
2013,Adelaide,Essendon,-35
2013,Adelaide,Fremantle,-14.5
2013,Adelaide,Geelong,2
2013,Adelaide,Gold Coast,28
2013,Adelaide,Greater Western Sydney,135
2013,Adelaide,Hawthorn,-11
2013,Adelaide,Melbourne,68
2013,Adelaide,North Melbourne,5
2013,Adelaide,Port Adelaide,-6.5
2013,Adelaide,Richmond,-38
2013,Adelaide,St Kilda,40
2013,Adelaide,Sydney,-77
