,,,,,,,,,,,max,100,,,,Rainfall Bins,0,1,10,15,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Year,Round,Team,Score,Margin,WinLoss,Opposition,Day,Date,Start Time,Venue,Attendance,Rainfall(mm),,Year,,Rainfall,None,Light,Medium,Heavy,,,,Team,Adelaide,Brisbane Lions,Carlton,Collingwood,Essendon,Fremantle,Geelong,Gold Coast,Greater Western Sydney,Hawthorn,Melbourne,North Melbourne,Port Adelaide,Richmond,St Kilda,Sydney,West Coast,Western Bulldogs,,Venue,Adelaide Oval,Bellerive Oval,Blacktown,Carrara,Cazaly's Stadium,Docklands,Eureka Stadium,Football Park,Gabba,Jiangwan Stadium,Kardinia Park,M.C.G.,Manuka Oval,Marrara Oval,Perth Stadium,Riverway Stadium,S.C.G.,Stadium Australia,Subiaco,Sydney Showground,Traeger Park,Wellington,York Park
2014,R11,Essendon,104,50,W,Richmond,Sat,31-May-14,7:45 PM,M.C.G.,"74,664",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,R12,Essendon,81,15,W,Greater Western Sydney,Sat,7-Jun-14,7:40 PM,Sydney Showground,"8,429",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,R15,Essendon,80,-9,L,Geelong,Fri,27-Jun-14,7:50 PM,Docklands,"43,732",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,R18,Essendon,101,7,W,Western Bulldogs,Sun,20-Jul-14,4:40 PM,Docklands,"34,476",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,R19,Essendon,57,-22,L,Sydney,Fri,1-Aug-14,7:50 PM,S.C.G.,"36,804",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,R22,Essendon,108,19,W,Gold Coast,Sat,23-Aug-14,2:10 PM,Docklands,"33,281",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,R23,Essendon,90,0,D,Carlton,Sat,30-Aug-14,1:45 PM,M.C.G.,"56,663",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,R3,Essendon,138,81,W,Carlton,Sun,6-Apr-14,7:10 PM,M.C.G.,"62,730",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,R4,Essendon,60,-53,L,Fremantle,Sun,13-Apr-14,2:40 PM,Subiaco,"36,722",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,R6,Essendon,60,-23,L,Collingwood,Fri,25-Apr-14,2:40 PM,M.C.G.,"91,731",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,R8,Essendon,65,8,W,Brisbane Lions,Sat,10-May-14,4:40 PM,Gabba,"26,522",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,R9,Essendon,64,-50,L,Sydney,Fri,16-May-14,7:50 PM,Docklands,"41,098",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,R14,Essendon,101,9,W,Adelaide,Sat,21-Jun-14,7:40 PM,Docklands,"30,948",0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,R21,Essendon,77,3,W,West Coast,Sat,16-Aug-14,4:40 PM,Docklands,"35,905",0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,R13,Essendon,77,-1,L,Melbourne,Sun,15-Jun-14,4:40 PM,M.C.G.,"44,626",1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,R5,Essendon,65,-16,L,St Kilda,Sat,19-Apr-14,7:40 PM,Docklands,"36,041",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,R7,Essendon,73,8,W,Western Bulldogs,Sat,3-May-14,7:40 PM,Docklands,"33,289",2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,R20,Essendon,77,-18,L,Richmond,Fri,8-Aug-14,7:50 PM,M.C.G.,"58,032",3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,R17,Essendon,103,64,W,Collingwood,Sun,13-Jul-14,3:20 PM,M.C.G.,"58,996",3.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,R16,Essendon,62,2,W,Port Adelaide,Sat,5-Jul-14,7:10 PM,Adelaide Oval,"46,786",3.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,R2,Essendon,86,-4,L,Hawthorn,Fri,28-Mar-14,7:50 PM,Docklands,"44,163",8.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,R1,Fremantle,116,70,W,Collingwood,Fri,14-Mar-14,7:50 PM,Docklands,"37,571",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,R12,Fremantle,90,40,W,Adelaide,Sun,8-Jun-14,2:10 PM,Subiaco,"35,389",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,R15,Fremantle,88,7,W,West Coast,Sat,28-Jun-14,2:40 PM,Subiaco,"40,490",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,R16,Fremantle,97,63,W,Melbourne,Sat,5-Jul-14,7:10 PM,Marrara Oval,"9,290",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,R17,Fremantle,136,76,W,Greater Western Sydney,Sun,13-Jul-14,2:40 PM,Subiaco,"33,597",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,R2,Fremantle,87,48,W,Gold Coast,Sat,29-Mar-14,4:40 PM,Subiaco,"35,583",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,R20,Fremantle,79,-2,L,Geelong,Sat,9-Aug-14,7:40 PM,Kardinia Park,"26,885",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,R21,Fremantle,110,19,W,Hawthorn,Sun,17-Aug-14,2:40 PM,Subiaco,"38,506",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,R3,Fremantle,79,-58,L,Hawthorn,Fri,4-Apr-14,7:50 PM,M.C.G.,"43,583",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,R4,Fremantle,113,53,W,Essendon,Sun,13-Apr-14,2:40 PM,Subiaco,"36,722",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,R5,Fremantle,75,-17,L,Sydney,Sat,19-Apr-14,4:40 PM,S.C.G.,"25,376",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,R7,Fremantle,73,19,W,West Coast,Sun,4-May-14,2:40 PM,Subiaco,"40,476",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,R9,Fremantle,96,32,W,Geelong,Sat,17-May-14,5:40 PM,Subiaco,"38,565",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,R13,Fremantle,105,20,W,Richmond,Sat,14-Jun-14,1:45 PM,M.C.G.,"22,083",0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,R14,Fremantle,105,83,W,Brisbane Lions,Sat,21-Jun-14,5:40 PM,Subiaco,"25,152",0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,R6,Fremantle,61,-13,L,North Melbourne,Fri,25-Apr-14,6:45 PM,Subiaco,"37,624",0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,SF,Fremantle,83,-22,L,Port Adelaide,Sat,13-Sep-14,5:45 PM,Subiaco,"42,338",0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,R18,Fremantle,60,-58,L,St Kilda,Sat,19-Jul-14,4:40 PM,Docklands,"16,594",0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,R19,Fremantle,83,5,W,Carlton,Thu,31-Jul-14,6:10 PM,Subiaco,"35,401",1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,QF,Fremantle,69,-24,L,Sydney,Sat,6-Sep-14,2:45 PM,Stadium Australia,"35,998",4.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,R11,Fremantle,89,38,W,Western Bulldogs,Sun,1-Jun-14,3:20 PM,Docklands,"14,913",4.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,R22,Fremantle,106,58,W,Brisbane Lions,Sun,24-Aug-14,1:10 PM,Gabba,"17,473",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,R8,Fremantle,76,-18,L,Port Adelaide,Sat,10-May-14,1:10 PM,Adelaide Oval,"38,234",17.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,R23,Fremantle,105,8,W,Port Adelaide,Sat,30-Aug-14,1:10 PM,Subiaco,"38,209",51.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,QF,Geelong,68,-36,L,Hawthorn,Fri,5-Sep-14,7:50 PM,M.C.G.,"74,757",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,R1,Geelong,119,38,W,Adelaide,Thu,20-Mar-14,7:10 PM,Kardinia Park,"23,622",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,R11,Geelong,38,-110,L,Sydney,Thu,29-May-14,7:10 PM,S.C.G.,"37,355",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,R14,Geelong,78,-40,L,Gold Coast,Sat,21-Jun-14,4:40 PM,Carrara,"18,236",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,R15,Geelong,89,9,W,Essendon,Fri,27-Jun-14,7:50 PM,Docklands,"43,732",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,R18,Geelong,94,7,W,Greater Western Sydney,Sat,19-Jul-14,7:40 PM,Sydney Showground,"7,697",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,R20,Geelong,81,2,W,Fremantle,Sat,9-Aug-14,7:40 PM,Kardinia Park,"26,885",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,R21,Geelong,82,6,W,Carlton,Fri,15-Aug-14,7:50 PM,Docklands,"38,812",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,R22,Geelong,71,-23,L,Hawthorn,Sat,23-Aug-14,7:40 PM,M.C.G.,"72,216",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,R23,Geelong,143,62,W,Brisbane Lions,Sat,30-Aug-14,7:40 PM,Kardinia Park,"24,659",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,R3,Geelong,87,11,W,Collingwood,Sat,5-Apr-14,7:40 PM,M.C.G.,"63,152",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,R5,Geelong,106,19,W,Hawthorn,Mon,21-Apr-14,3:20 PM,M.C.G.,"80,222",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,R6,Geelong,67,-40,L,Port Adelaide,Sun,27-Apr-14,4:10 PM,Adelaide Oval,"47,007",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,R9,Geelong,64,-32,L,Fremantle,Sat,17-May-14,5:40 PM,Subiaco,"38,565",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,SF,Geelong,92,-6,L,North Melbourne,Fri,12-Sep-14,7:50 PM,M.C.G.,"65,964",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,R16,Geelong,69,13,W,Western Bulldogs,Sun,6-Jul-14,4:40 PM,Kardinia Park,"24,766",0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,R2,Geelong,93,25,W,Brisbane Lions,Sun,30-Mar-14,12:10 PM,Gabba,"20,933",0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,R10,Geelong,111,20,W,North Melbourne,Fri,23-May-14,7:50 PM,Kardinia Park,"27,402",2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,R12,Geelong,107,5,W,Carlton,Fri,6-Jun-14,7:50 PM,Docklands,"36,952",2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,R4,Geelong,107,75,W,West Coast,Sat,12-Apr-14,7:40 PM,Kardinia Park,"25,271",4.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,R17,Geelong,102,66,W,Melbourne,Sat,12-Jul-14,1:45 PM,M.C.G.,"36,385",5.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,R7,Geelong,81,5,W,Richmond,Sun,4-May-14,3:20 PM,M.C.G.,"34,377",7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,R19,Geelong,111,32,W,North Melbourne,Sat,2-Aug-14,7:40 PM,Docklands,"32,564",11.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,R13,Geelong,133,96,W,St Kilda,Sun,15-Jun-14,1:10 PM,Kardinia Park,"25,180",20.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,R10,Gold Coast,119,45,W,Western Bulldogs,Sun,25-May-14,3:20 PM,Carrara,"14,235",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,R12,Gold Coast,74,-35,L,Sydney,Sun,8-Jun-14,3:20 PM,Carrara,"21,354",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,R13,Gold Coast,100,-3,L,West Coast,Sat,14-Jun-14,2:40 PM,Subiaco,"32,942",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,R14,Gold Coast,118,40,W,Geelong,Sat,21-Jun-14,4:40 PM,Carrara,"18,236",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,R17,Gold Coast,66,-28,L,Western Bulldogs,Sat,12-Jul-14,4:40 PM,Cazaly's Stadium,"9,746",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,R18,Gold Coast,56,-54,L,Brisbane Lions,Sat,26-Jul-14,4:40 PM,Gabba,"27,167",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,R19,Gold Coast,117,53,W,St Kilda,Sat,2-Aug-14,7:40 PM,Carrara,"12,027",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,R2,Gold Coast,39,-48,L,Fremantle,Sat,29-Mar-14,4:40 PM,Subiaco,"35,583",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,R20,Gold Coast,58,-39,L,Carlton,Sat,9-Aug-14,2:10 PM,Docklands,"28,840",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,R22,Gold Coast,89,-19,L,Essendon,Sat,23-Aug-14,2:10 PM,Docklands,"33,281",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,R23,Gold Coast,99,-52,L,West Coast,Sun,31-Aug-14,1:10 PM,Carrara,"11,840",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,R3,Gold Coast,114,53,W,Brisbane Lions,Sat,5-Apr-14,3:40 PM,Carrara,"16,593",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,R4,Gold Coast,49,-99,L,Hawthorn,Sat,12-Apr-14,7:40 PM,Carrara,"17,729",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,R5,Gold Coast,86,8,W,Melbourne,Sun,20-Apr-14,3:20 PM,M.C.G.,"17,243",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,R6,Gold Coast,134,40,W,Greater Western Sydney,Sat,26-Apr-14,1:40 PM,Carrara,"11,504",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,R9,Gold Coast,125,38,W,St Kilda,Sun,18-May-14,4:40 PM,Docklands,"14,625",0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,R1,Gold Coast,87,18,W,Richmond,Sat,15-Mar-14,6:55 PM,Carrara,"19,425",0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,R16,Gold Coast,80,5,W,Collingwood,Sat,5-Jul-14,4:40 PM,Carrara,"24,032",1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,R21,Gold Coast,47,-9,L,Port Adelaide,Sat,16-Aug-14,2:10 PM,Carrara,"10,042",1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,R7,Gold Coast,120,43,W,North Melbourne,Sun,4-May-14,1:10 PM,Docklands,"19,819",7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,R11,Gold Coast,77,-32,L,Adelaide,Sun,1-Jun-14,12:40 PM,Adelaide Oval,"49,069",8.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,R15,Gold Coast,63,-53,L,Hawthorn,Sat,28-Jun-14,1:45 PM,York Park,"13,178",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,R1,Greater Western Sydney,99,32,W,Sydney,Sat,15-Mar-14,4:40 PM,Sydney Showground,"17,102",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,R12,Greater Western Sydney,66,-15,L,Essendon,Sat,7-Jun-14,7:40 PM,Sydney Showground,"8,429",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,R15,Greater Western Sydney,60,-46,L,Sydney,Sat,28-Jun-14,7:40 PM,S.C.G.,"27,778",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,R16,Greater Western Sydney,72,-68,L,Adelaide,Sat,5-Jul-14,2:10 PM,Sydney Showground,"8,383",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,R17,Greater Western Sydney,60,-76,L,Fremantle,Sun,13-Jul-14,2:40 PM,Subiaco,"33,597",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,R18,Greater Western Sydney,87,-7,L,Geelong,Sat,19-Jul-14,7:40 PM,Sydney Showground,"7,697",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,R2,Greater Western Sydney,88,-7,L,St Kilda,Sat,29-Mar-14,1:40 PM,Docklands,"19,640",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,R20,Greater Western Sydney,51,-75,L,North Melbourne,Sat,9-Aug-14,1:45 PM,Manuka Oval,"10,211",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,R22,Greater Western Sydney,67,-8,L,Collingwood,Sat,23-Aug-14,4:40 PM,Sydney Showground,"10,851",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,R23,Greater Western Sydney,115,6,W,Western Bulldogs,Sun,31-Aug-14,4:40 PM,Docklands,"14,725",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,R5,Greater Western Sydney,72,-65,L,Adelaide,Sun,20-Apr-14,12:40 PM,Adelaide Oval,"44,770",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,R6,Greater Western Sydney,94,-40,L,Gold Coast,Sat,26-Apr-14,1:40 PM,Carrara,"11,504",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,R10,Greater Western Sydney,41,-113,L,Richmond,Sat,24-May-14,1:40 PM,Sydney Showground,"8,331",0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,R3,Greater Western Sydney,79,32,W,Melbourne,Sun,6-Apr-14,1:10 PM,Sydney Showground,"7,016",0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,R14,Greater Western Sydney,100,8,W,Carlton,Sun,22-Jun-14,1:10 PM,Sydney Showground,"9,059",0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,R8,Greater Western Sydney,77,-111,L,West Coast,Sun,11-May-14,2:40 PM,Subiaco,"29,391",0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,R13,Greater Western Sydney,125,45,W,Brisbane Lions,Sat,14-Jun-14,7:40 PM,Gabba,"12,700",0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,R21,Greater Western Sydney,98,64,W,Melbourne,Sun,17-Aug-14,3:20 PM,M.C.G.,"17,227",0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,R11,Greater Western Sydney,87,-7,L,Hawthorn,Sun,1-Jun-14,4:40 PM,M.C.G.,"17,906",4.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,R19,Greater Western Sydney,62,-27,L,Richmond,Sat,2-Aug-14,4:40 PM,M.C.G.,"23,095",11.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,R4,Greater Western Sydney,83,-27,L,Western Bulldogs,Sat,12-Apr-14,4:40 PM,Manuka Oval,"7,863",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,R7,Greater Western Sydney,97,-35,L,Port Adelaide,Sat,3-May-14,2:10 PM,Manuka Oval,"6,549",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,GF,Hawthorn,137,63,W,Sydney,Sat,27-Sep-14,2:30 PM,M.C.G.,"99,454",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,PF,Hawthorn,97,3,W,Port Adelaide,Sat,20-Sep-14,4:45 PM,M.C.G.,"74,856",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,QF,Hawthorn,104,36,W,Geelong,Fri,5-Sep-14,7:50 PM,M.C.G.,"74,757",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,R10,Hawthorn,86,-14,L,Port Adelaide,Sat,24-May-14,7:10 PM,Adelaide Oval,"52,233",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,R16,Hawthorn,88,-20,L,North Melbourne,Fri,4-Jul-14,7:50 PM,Docklands,"35,025",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,R19,Hawthorn,107,62,W,Western Bulldogs,Sun,3-Aug-14,3:20 PM,York Park,"14,187",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
