,,,,,,,,,,,max,100,,,,Rainfall Bins,0,1,10,15,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Year,Round,Team,Score,Margin,WinLoss,Opposition,Day,Date,Start Time,Venue,Attendance,Rainfall(mm),,Year,,Rainfall,None,Light,Medium,Heavy,,,,Team,Adelaide,Brisbane Lions,Carlton,Collingwood,Essendon,Fremantle,Geelong,Gold Coast,Greater Western Sydney,Hawthorn,Melbourne,North Melbourne,Port Adelaide,Richmond,St Kilda,Sydney,West Coast,Western Bulldogs,,Venue,Adelaide Oval,Bellerive Oval,Blacktown,Carrara,Cazaly's Stadium,Docklands,Eureka Stadium,Football Park,Gabba,Jiangwan Stadium,Kardinia Park,M.C.G.,Manuka Oval,Marrara Oval,Perth Stadium,Riverway Stadium,S.C.G.,Stadium Australia,Subiaco,Sydney Showground,Traeger Park,Wellington,York Park
2012,R5,Adelaide,110,19,W,Port Adelaide,Sun,29-Apr-12,4:10 PM,Football Park,"41,649",0,,,,Port Adelaide,-22.6,-17.0,,,,,,Port Adelaide,-38.5,-11.0,54.0,-24.0,-37.5,-33.5,-38.0,48.0,-34.0,-59.0,28.0,2.0,,-18.5,4.0,-22.0,-48.0,-38.0,,Port Adelaide,,,,48.0,,-29.0,,-21.5,,,-38.0,0.0,,28.0,,,,,-40.0,-34.0,,,-72.0
2012,R6,Adelaide,99,5,W,Sydney,Sat,5-May-12,7:40 PM,S.C.G.,"23,969",0,,,,Richmond,16.5,-6.6,-4.0,62.0,,,,Richmond,-19.0,48.0,-24.0,-21.0,13.0,-17.0,-10.0,-2.0,12.0,62.0,41.0,-4.0,18.5,,8.0,29.0,-10.0,70.0,,Richmond,,,,,-2.0,-1.0,,9.0,48.0,,-10.0,14.2,,,,,,,-22.0,12.0,,,
2012,R7,Adelaide,122,50,W,Geelong,Sat,12-May-12,12:45 PM,Football Park,"35,535",0,,,,St Kilda,28.3,5.0,13.0,28.0,,,,St Kilda,-4.0,13.0,19.5,-6.0,71.0,-13.0,-42.0,93.5,128.0,-35.0,21.5,-33.0,-4.0,-8.0,,-0.5,-30.0,69.5,,St Kilda,,,,95.0,,33.4,,-4.0,13.0,,,0.5,,,,,-29.0,,-30.0,,,,
2012,SF,Adelaide,81,10,W,Fremantle,Fri,14-Sep-12,8:15 PM,Football Park,"31,742",0,,,,Sydney,27.2,34.4,,32.0,,,,Sydney,12.0,47.0,22.0,9.0,4.0,13.0,-14.0,72.0,78.5,13.3,101.0,36.0,22.0,-29.0,0.5,,52.0,87.0,,Sydney,,,,72.0,,20.0,,25.5,,,-34.0,-9.5,,,,,34.7,43.8,52.0,,,,37.0
2012,QF,Adelaide,42,-29,L,Sydney,Sat,8-Sep-12,2:45 PM,Football Park,"44,849",0.2,,,,West Coast,34.9,-19.2,25.0,-2.0,,,,West Coast,-49.0,48.0,10.0,11.0,-61.0,-8.5,5.0,126.0,81.0,-10.0,108.0,41.0,48.0,10.0,30.0,-52.0,,49.0,,West Coast,,2.0,81.0,,,-0.7,,-0.5,-2.0,,,-13.7,,,,,,,37.2,,,,
2012,R17,Adelaide,124,49,W,West Coast,Sat,21-Jul-12,1:40 PM,Football Park,"40,724",0.2,,,,Western Bulldogs,-27.0,-35.3,,-92.0,,,,Western Bulldogs,-18.0,-62.5,-18.0,-21.0,-84.0,-38.0,-27.0,38.0,42.0,-72.0,21.0,-18.0,38.0,-70.0,-69.5,-87.0,-49.0,,,Western Bulldogs,,,,,,-41.6,,-18.0,-67.0,,-34.0,-24.5,42.0,38.0,,,-92.0,,-38.0,,,,
2012,R8,Adelaide,124,69,W,Carlton,Sun,20-May-12,3:15 PM,Docklands,"35,917",0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,R19,Adelaide,104,4,W,Essendon,Sun,5-Aug-12,4:10 PM,Football Park,"40,030",0.6,,Year,,Rainfall,None,Light,Medium,Heavy,,,,Team,Adelaide,Brisbane Lions,Carlton,Collingwood,Essendon,Fremantle,Geelong,Gold Coast,Greater Western Sydney,Hawthorn,Melbourne,North Melbourne,Port Adelaide,Richmond,St Kilda,Sydney,West Coast,Western Bulldogs,,Venue,Adelaide Oval,Bellerive Oval,Blacktown,Carrara,Cazaly's Stadium,Docklands,Eureka Stadium,Football Park,Gabba,Jiangwan Stadium,Kardinia Park,M.C.G.,Manuka Oval,Marrara Oval,Perth Stadium,Riverway Stadium,S.C.G.,Stadium Australia,Subiaco,Sydney Showground,Traeger Park,Wellington,York Park
2012,R22,Adelaide,150,69,W,Melbourne,Sun,26-Aug-12,4:40 PM,M.C.G.,"18,450",0.6,,2013,,Adelaide,-5.1,31.0,28.0,-14.5,,,,Adelaide,,19.0,-32.0,-27.0,-35.0,-14.5,2.0,28.0,135.0,-11.0,68.0,5.0,-6.5,-38.0,40.0,-77.0,40.0,17.5,,Adelaide,,,,28.0,,-8.0,,1.8,19.0,,,-32.3,,,,,,,32.0,135.0,,,
2012,PF,Adelaide,92,-5,L,Hawthorn,Sat,22-Sep-12,5:15 PM,M.C.G.,"69,146",1,,,,Brisbane Lions,-5.3,-22.8,,-23.5,,,,Brisbane Lions,-19.0,,-13.0,-49.0,10.0,-40.0,2.0,17.5,60.0,-58.0,23.5,-25.5,-9.0,-23.0,31.0,-60.0,-26.0,-30.5,,Brisbane Lions,,,,2.0,,-40.3,,-9.0,6.3,,-1.0,-23.0,,19.0,,,-60.0,,-40.0,,,,-58.0
2012,R18,Adelaide,75,-27,L,Geelong,Sat,28-Jul-12,1:45 PM,Kardinia Park,"18,377",2.6,,,,Carlton,12.1,-18.2,-10.0,44.5,,,,Carlton,32.0,13.0,,-29.0,-5.5,-36.0,-16.0,43.0,94.0,-15.0,61.0,1.0,9.5,8.3,13.5,-23.0,24.0,-28.0,,Carlton,,,,43.0,,5.0,,1.0,13.0,,,5.4,,,,,-22.0,-24.0,24.0,,,,
2012,R14,Adelaide,106,19,W,Richmond,Sat,30-Jun-12,1:40 PM,Football Park,"33,780",6,,,,Collingwood,2.2,13.3,79.0,21.0,,,,Collingwood,27.0,49.0,29.0,,16.5,-27.0,6.0,-7.0,40.0,-45.0,83.0,2.5,-29.5,34.0,26.0,-9.0,62.0,34.0,,Collingwood,,,,-7.0,,25.3,,-35.0,49.0,,,11.4,,,,,,29.0,-27.0,,,,
2012,R9,Adelaide,49,-26,L,Collingwood,Sat,26-May-12,7:10 PM,Football Park,"44,238",7.2,,,,Essendon,5.2,23.0,-37.0,31.0,,,,Essendon,35.0,-10.0,5.5,-16.5,,4.0,-28.0,43.0,39.0,-56.0,148.0,-45.0,30.0,-5.0,37.0,-44.0,-23.0,31.0,,Essendon,,,,,,-1.2,,35.0,,,,16.6,,,,,-44.0,,5.5,39.0,,,
