Year,Team 1,Team 1 Label,Team 2,Team 2 Label,Margin
2012,Gold Coast,GC,Brisbane Lions,BRI,-38
2012,Gold Coast,GC,Carlton,CAR,12
2012,Gold Coast,GC,Collingwood,COL,-97
2012,Gold Coast,GC,Essendon,ESS,-17
2012,Gold Coast,GC,Fremantle,FRE,-7
2012,Gold Coast,GC,Geelong,GEE,-14
2012,Gold Coast,GC,Gold Coast,GCS,
2012,Gold Coast,GC,Greater Western Sydney,GWS,1.5
2012,Gold Coast,GC,Hawthorn,HAW,-64
2012,Gold Coast,GC,Melbourne,MEL,-42
2012,Gold Coast,GC,North Melbourne,NOR,-20.5
2012,Gold Coast,GC,Port Adelaide,POR,-48
2012,Gold Coast,GC,Richmond,RIC,2
2012,Gold Coast,GC,St Kilda,STK,-93.5
2012,Gold Coast,GC,Sydney,SYD,-72
2012,Gold Coast,GC,West Coast,WCE,-126
2012,Gold Coast,GC,Western Bulldogs,WBD,-38
2012,Greater Western Sydney,GWS,Adelaide,ADE,-82.5
2012,Greater Western Sydney,GWS,Brisbane Lions,BRI,-92
2012,Greater Western Sydney,GWS,Carlton,CAR,-67
2012,Greater Western Sydney,GWS,Collingwood,COL,-120
2012,Greater Western Sydney,GWS,Essendon,ESS,-66
2012,Greater Western Sydney,GWS,Fremantle,FRE,-95
2012,Greater Western Sydney,GWS,Geelong,GEE,-65
2012,Greater Western Sydney,GWS,Gold Coast,GCS,-1.5
2012,Greater Western Sydney,GWS,Greater Western Sydney,GWS,
2012,Greater Western Sydney,GWS,Hawthorn,HAW,-162
2012,Greater Western Sydney,GWS,Melbourne,MEL,-51.5
2012,Greater Western Sydney,GWS,North Melbourne,NOR,-78.5
2012,Greater Western Sydney,GWS,Port Adelaide,POR,34
2012,Greater Western Sydney,GWS,Richmond,RIC,-12
2012,Greater Western Sydney,GWS,St Kilda,STK,-128
2012,Greater Western Sydney,GWS,Sydney,SYD,-78.5
2012,Greater Western Sydney,GWS,West Coast,WCE,-81
2012,Greater Western Sydney,GWS,Western Bulldogs,WBD,-42
2012,Hawthorn,HAW,Adelaide,ADE,30.5
2012,Hawthorn,HAW,Brisbane Lions,BRI,65
2012,Hawthorn,HAW,Carlton,CAR,50
2012,Hawthorn,HAW,Collingwood,COL,35.7
2012,Hawthorn,HAW,Essendon,ESS,94
2012,Hawthorn,HAW,Fremantle,FRE,56
2012,Hawthorn,HAW,Geelong,GEE,-2
2012,Hawthorn,HAW,Gold Coast,GCS,64
2012,Hawthorn,HAW,Greater Western Sydney,GWS,162
2012,Hawthorn,HAW,Hawthorn,HAW,
2012,Hawthorn,HAW,Melbourne,MEL,66
2012,Hawthorn,HAW,North Melbourne,NOR,115
2012,Hawthorn,HAW,Port Adelaide,POR,59
2012,Hawthorn,HAW,Richmond,RIC,-62
2012,Hawthorn,HAW,St Kilda,STK,35
2012,Hawthorn,HAW,Sydney,SYD,-13.3
2012,Hawthorn,HAW,West Coast,WCE,10
2012,Hawthorn,HAW,Western Bulldogs,WBD,72
2012,Melbourne,MEL,Adelaide,ADE,-69
2012,Melbourne,MEL,Brisbane Lions,BRI,-51
2012,Melbourne,MEL,Carlton,CAR,-58
2012,Melbourne,MEL,Collingwood,COL,-42
2012,Melbourne,MEL,Essendon,ESS,6
2012,Melbourne,MEL,Fremantle,FRE,-47.5
2012,Melbourne,MEL,Geelong,GEE,-43
2012,Melbourne,MEL,Gold Coast,GCS,42
2012,Melbourne,MEL,Greater Western Sydney,GWS,51.5
2012,Melbourne,MEL,Hawthorn,HAW,-66
2012,Melbourne,MEL,Melbourne,MEL,
2012,Melbourne,MEL,North Melbourne,NOR,-54
2012,Melbourne,MEL,Port Adelaide,POR,-28
2012,Melbourne,MEL,Richmond,RIC,-41
2012,Melbourne,MEL,St Kilda,STK,-21.5
2012,Melbourne,MEL,Sydney,SYD,-101
2012,Melbourne,MEL,West Coast,WCE,-108
2012,Melbourne,MEL,Western Bulldogs,WBD,-21
2012,North Melbourne,NOR,Adelaide,ADE,32
2012,North Melbourne,NOR,Brisbane Lions,BRI,16
2012,North Melbourne,NOR,Carlton,CAR,53
2012,North Melbourne,NOR,Collingwood,COL,30
2012,North Melbourne,NOR,Essendon,ESS,11
2012,North Melbourne,NOR,Fremantle,FRE,-53
2012,North Melbourne,NOR,Geelong,GEE,17
2012,North Melbourne,NOR,Gold Coast,GCS,20.5
2012,North Melbourne,NOR,Greater Western Sydney,GWS,78.5
2012,North Melbourne,NOR,Hawthorn,HAW,-115
2012,North Melbourne,NOR,Melbourne,MEL,54
2012,North Melbourne,NOR,North Melbourne,NOR,
2012,North Melbourne,NOR,Port Adelaide,POR,-2
2012,North Melbourne,NOR,Richmond,RIC,4
2012,North Melbourne,NOR,St Kilda,STK,33
2012,North Melbourne,NOR,Sydney,SYD,-36
2012,North Melbourne,NOR,West Coast,WCE,-41
2012,North Melbourne,NOR,Western Bulldogs,WBD,18
2012,Port Adelaide,POR,Adelaide,ADE,-38.5
2012,Port Adelaide,POR,Brisbane Lions,BRI,-11
2012,Port Adelaide,POR,Carlton,CAR,54
2012,Port Adelaide,POR,Collingwood,COL,-24
2012,Port Adelaide,POR,Essendon,ESS,-37.5
2012,Port Adelaide,POR,Fremantle,FRE,-33.5
2012,Port Adelaide,POR,Geelong,GEE,-38
2012,Port Adelaide,POR,Gold Coast,GCS,48
2012,Port Adelaide,POR,Greater Western Sydney,GWS,-34
2012,Port Adelaide,POR,Hawthorn,HAW,-59
2012,Port Adelaide,POR,Melbourne,MEL,28
2012,Port Adelaide,POR,North Melbourne,NOR,2
2012,Port Adelaide,POR,Port Adelaide,POR,
2012,Port Adelaide,POR,Richmond,RIC,-18.5
2012,Port Adelaide,POR,St Kilda,STK,4
2012,Port Adelaide,POR,Sydney,SYD,-22
2012,Port Adelaide,POR,West Coast,WCE,-48
2012,Port Adelaide,POR,Western Bulldogs,WBD,-38
2012,Richmond,RIC,Adelaide,ADE,-19
2012,Richmond,RIC,Brisbane Lions,BRI,48
2012,Richmond,RIC,Carlton,CAR,-24
2012,Richmond,RIC,Collingwood,COL,-21
2012,Richmond,RIC,Essendon,ESS,13
2012,Richmond,RIC,Fremantle,FRE,-17
2012,Richmond,RIC,Geelong,GEE,-10
2012,Richmond,RIC,Gold Coast,GCS,-2
2012,Richmond,RIC,Greater Western Sydney,GWS,12
2012,Richmond,RIC,Hawthorn,HAW,62
2012,Richmond,RIC,Melbourne,MEL,41
2012,Richmond,RIC,North Melbourne,NOR,-4
