Venue,Venue (Alternative),City Bin,Latitude,Longitude,Capacity,Length,Width ,State/Country ,Team,Margin,Margin Bin,Home
Stadium Australia,ANZ,Sydney,-33.849319,151.062119,82500,170,128,NSW,Collingwood,13.33333333,,
Subiaco,,Perth,-31.94362,115.83462,43082,175,122,WA,Collingwood,-30.83333333,,
Sydney Showground,GIANTS Stadium ,Sydney,-33.8443,151.06755,23500,164,127.5,NSW,Collingwood,20.83333333,,
Adelaide Oval,,Adelaide,-34.915089,138.599472,53500,167,125,SA,Essendon,-16.97222222,6.0,
Carrara,Metricon Stadium,Brisbane ,-28.01306,153.37706,22500,160,134,QLD,Essendon,3.142857143,3.9,
Docklands,Marvel Stadium,Melbourne,-37.818249,144.948517,53343,159.5,128.8,VIC,Essendon,-6.562345679,-3.7,Y
Football Park,AAMI Stadium,Adelaide,-34.87949,138.49352,51240,165,133,SA,Essendon,29,,
Gabba,,Brisbane ,-27.48442,153.03518,39202,156,138,QLD,Essendon,4.583333333,,
M.C.G.,,Melbourne,-37.819511,144.980225,100024,160,141,VIC,Essendon,-0.757936508,,Y
Marrara Oval,TIO Stadium ,Marrara Oval,-12.39907,130.88627,12215,175,135,NT,Essendon,-12,-12.0,
Perth Stadium,Optus Stadium ,Perth,-31.95428,115.89492,60156,165,130,WA,Essendon,-6.666666667,-18.2,
S.C.G.,,Sydney,-33.89143,151.22352,46817,149,136,NSW,Essendon,-29.83333333,-12.3,
Stadium Australia,ANZ,Sydney,-33.849319,151.062119,82500,170,128,NSW,Essendon,-12,,
Subiaco,,Perth,-31.94362,115.83462,43082,175,122,WA,Essendon,-29.66666667,,
Sydney Showground,GIANTS Stadium ,Sydney,-33.8443,151.06755,23500,164,127.5,NSW,Essendon,5,,
Adelaide Oval,,Adelaide,-34.915089,138.599472,53500,167,125,SA,Fremantle,-42.41666667,-20.4,
Carrara,Metricon Stadium,Brisbane ,-28.01306,153.37706,22500,160,134,QLD,Fremantle,5.916666667,12.0,
Cazaly's Stadium,,Cazaly's Stadium,-16.935921,145.749023,13500,165,135,QLD,Fremantle,-8,-8.0,
Docklands,Marvel Stadium,Melbourne,-37.818249,144.948517,53343,159.5,128.8,VIC,Fremantle,0.092592593,-10.6,
Football Park,AAMI Stadium,Adelaide,-34.87949,138.49352,51240,165,133,SA,Fremantle,1.666666667,,
Gabba,,Brisbane ,-27.48442,153.03518,39202,156,138,QLD,Fremantle,18,,
Kardinia Park,GMHBA,Melbourne,-38.145151,144.354611,36000,170,115,VIC,Fremantle,-21.2,,
M.C.G.,,Melbourne,-37.819511,144.980225,100024,160,141,VIC,Fremantle,-10.70833333,,
Manuka Oval,UNSW Canberra Oval,Manuka Oval,-35.316608,149.133957,14849,162.5,138.4,ACT,Fremantle,-3.5,-3.5,
Marrara Oval,TIO Stadium ,Marrara Oval,-12.39907,130.88627,12215,175,135,NT,Fremantle,-7.666666667,-7.7,
Perth Stadium,Optus Stadium ,Perth,-31.95428,115.89492,60156,165,130,WA,Fremantle,-3.429181929,4.1,Y
S.C.G.,,Sydney,-33.89143,151.22352,46817,149,136,NSW,Fremantle,-38.6,-38.2,
Stadium Australia,ANZ,Sydney,-33.849319,151.062119,82500,170,128,NSW,Fremantle,-24,,
Subiaco,,Perth,-31.94362,115.83462,43082,175,122,WA,Fremantle,11.71657509,,Y
Sydney Showground,GIANTS Stadium ,Sydney,-33.8443,151.06755,23500,164,127.5,NSW,Fremantle,-52,,
York Park,UTS,York Park,-41.42805,147.1384,19500,175,145,TAS,Fremantle,-48.4,-48.4,
Adelaide Oval,,Adelaide,-34.915089,138.599472,53500,167,125,SA,Geelong,0.142857143,-6.7,
Carrara,Metricon Stadium,Brisbane ,-28.01306,153.37706,22500,160,134,QLD,Geelong,12.29166667,23.4,
Docklands,Marvel Stadium,Melbourne,-37.818249,144.948517,53343,159.5,128.8,VIC,Geelong,17.1875,17.0,
Football Park,AAMI Stadium,Adelaide,-34.87949,138.49352,51240,165,133,SA,Geelong,-13.5,,
Gabba,,Brisbane ,-27.48442,153.03518,39202,156,138,QLD,Geelong,34.45238095,,
Kardinia Park,GMHBA,Melbourne,-38.145151,144.354611,36000,170,115,VIC,Geelong,33.77865961,,Y
M.C.G.,,Melbourne,-37.819511,144.980225,100024,160,141,VIC,Geelong,0.181481481,,
Manuka Oval,UNSW Canberra Oval,Manuka Oval,-35.316608,149.133957,14849,162.5,138.4,ACT,Geelong,7,7.0,
Perth Stadium,Optus Stadium ,Perth,-31.95428,115.89492,60156,165,130,WA,Geelong,-16.22222222,-7.7,
S.C.G.,,Sydney,-33.89143,151.22352,46817,149,136,NSW,Geelong,-4.833333333,-13.1,
Stadium Australia,ANZ,Sydney,-33.849319,151.062119,82500,170,128,NSW,Geelong,-43,,
Subiaco,,Perth,-31.94362,115.83462,43082,175,122,WA,Geelong,0.833333333,,
Sydney Showground,GIANTS Stadium ,Sydney,-33.8443,151.06755,23500,164,127.5,NSW,Geelong,8.5,,
Adelaide Oval,,Adelaide,-34.915089,138.599472,53500,167,125,SA,Gold Coast,-57.75,-55.9,
Carrara,Metricon Stadium,Brisbane ,-28.01306,153.37706,22500,160,134,QLD,Gold Coast,-11.89890973,-26.0,Y
Cazaly's Stadium,,Cazaly's Stadium,-16.935921,145.749023,13500,165,135,QLD,Gold Coast,-20.42857143,-20.4,
Docklands,Marvel Stadium,Melbourne,-37.818249,144.948517,53343,159.5,128.8,VIC,Gold Coast,-25.53125,-32.6,
Eureka Stadium,Mars Stadium,Melbourne,-37.53821,143.84903,11000,159.5,128.8,VIC,Gold Coast,-9,,
Football Park,AAMI Stadium,Adelaide,-34.87949,138.49352,51240,165,133,SA,Gold Coast,-54,,
Gabba,,Brisbane ,-27.48442,153.03518,39202,156,138,QLD,Gold Coast,-40.14814815,,
Jiangwan Stadium,,Jiangwan Stadium,31.304992,121.515035,11000,160,138,China,Gold Coast,-56,-56.0,
Kardinia Park,GMHBA,Melbourne,-38.145151,144.354611,36000,170,115,VIC,Gold Coast,-64,,
M.C.G.,,Melbourne,-37.819511,144.980225,100024,160,141,VIC,Gold Coast,-31.95833333,,
Manuka Oval,UNSW Canberra Oval,Manuka Oval,-35.316608,149.133957,14849,162.5,138.4,ACT,Gold Coast,-16.33333333,-16.3,
Marrara Oval,TIO Stadium ,Marrara Oval,-12.39907,130.88627,12215,175,135,NT,Gold Coast,-35.5,-35.5,
Perth Stadium,Optus Stadium ,Perth,-31.95428,115.89492,60156,165,130,WA,Gold Coast,-38.5,-45.0,
Riverway Stadium,,Riverway Stadium,-19.31907,146.72989,10000,156,138,QLD,Gold Coast,-4,-4.0,
S.C.G.,,Sydney,-33.89143,151.22352,46817,149,136,NSW,Gold Coast,-26.16666667,-53.2,
Subiaco,,Perth,-31.94362,115.83462,43082,175,122,WA,Gold Coast,-51.5,,
Sydney Showground,GIANTS Stadium ,Sydney,-33.8443,151.06755,23500,164,127.5,NSW,Gold Coast,-80.2,,
Traeger Park,TIO Traeger Park Oval,Traeger Park,-23.71066,133.87488,7164,175,135,NT,Gold Coast,-35,-35.0,
York Park,UTS,York Park,-41.42805,147.1384,19500,175,145,TAS,Gold Coast,-46.25,-46.3,
Adelaide Oval,,Adelaide,-34.915089,138.599472,53500,167,125,SA,Greater Western Sydney,-19.5,-35.3,
Bellerive Oval,Blundstone Arena,Bellerive Oval,-42.8773,147.37208,19000,160,124,TAS,Greater Western Sydney,-26.75,-26.8,
Blacktown,,Blacktown,-33.771549,150.858109,10000,160,141,NSW,Greater Western Sydney,-81,-81.0,
Carrara,Metricon Stadium,Brisbane ,-28.01306,153.37706,22500,160,134,QLD,Greater Western Sydney,-7.5,-1.7,
Docklands,Marvel Stadium,Melbourne,-37.818249,144.948517,53343,159.5,128.8,VIC,Greater Western Sydney,-11.05555556,-25.5,
Football Park,AAMI Stadium,Adelaide,-34.87949,138.49352,51240,165,133,SA,Greater Western Sydney,-51,,
Gabba,,Brisbane ,-27.48442,153.03518,39202,156,138,QLD,Greater Western Sydney,4.1875,,
Kardinia Park,GMHBA,Melbourne,-38.145151,144.354611,36000,170,115,VIC,Greater Western Sydney,-35.2,,
M.C.G.,,Melbourne,-37.819511,144.980225,100024,160,141,VIC,Greater Western Sydney,-30.2875,,
Manuka Oval,UNSW Canberra Oval,Manuka Oval,-35.316608,149.133957,14849,162.5,138.4,ACT,Greater Western Sydney,5.541666667,5.5,Y
Perth Stadium,Optus Stadium ,Perth,-31.95428,115.89492,60156,165,130,WA,Greater Western Sydney,-22.66666667,-38.8,
S.C.G.,,Sydney,-33.89143,151.22352,46817,149,136,NSW,Greater Western Sydney,-17.35714286,-14.4,
Stadium Australia,ANZ,Sydney,-33.849319,151.062119,82500,170,128,NSW,Greater Western Sydney,-24.16666667,,
Subiaco,,Perth,-31.94362,115.83462,43082,175,122,WA,Greater Western Sydney,-54.91666667,,
Sydney Showground,GIANTS Stadium ,Sydney,-33.8443,151.06755,23500,164,127.5,NSW,Greater Western Sydney,-1.55026455,,Y
York Park,UTS,York Park,-41.42805,147.1384,19500,175,145,TAS,Greater Western Sydney,-41.5,-41.5,
Adelaide Oval,,Adelaide,-34.915089,138.599472,53500,167,125,SA,Hawthorn,5.966666667,21.5,
Carrara,Metricon Stadium,Brisbane ,-28.01306,153.37706,22500,160,134,QLD,Hawthorn,-0.333333333,-4.7,
Docklands,Marvel Stadium,Melbourne,-37.818249,144.948517,53343,159.5,128.8,VIC,Hawthorn,26.12777778,-5.2,
Football Park,AAMI Stadium,Adelaide,-34.87949,138.49352,51240,165,133,SA,Hawthorn,37,,
Gabba,,Brisbane ,-27.48442,153.03518,39202,156,138,QLD,Hawthorn,-9,,
Kardinia Park,GMHBA,Melbourne,-38.145151,144.354611,36000,170,115,VIC,Hawthorn,-61,,
M.C.G.,,Melbourne,-37.819511,144.980225,100024,160,141,VIC,Hawthorn,19.18305075,,Y
Manuka Oval,UNSW Canberra Oval,Manuka Oval,-35.316608,149.133957,14849,162.5,138.4,ACT,Hawthorn,56,56.0,
Perth Stadium,Optus Stadium ,Perth,-31.95428,115.89492,60156,165,130,WA,Hawthorn,30.44444444,19.9,
S.C.G.,,Sydney,-33.89143,151.22352,46817,149,136,NSW,Hawthorn,0.166666667,-1.9,
Stadium Australia,ANZ,Sydney,-33.849319,151.062119,82500,170,128,NSW,Hawthorn,27.33333333,,
Subiaco,,Perth,-31.94362,115.83462,43082,175,122,WA,Hawthorn,9.333333333,,
Sydney Showground,GIANTS Stadium ,Sydney,-33.8443,151.06755,23500,164,127.5,NSW,Hawthorn,-33.08333333,,
York Park,UTS,York Park,-41.42805,147.1384,19500,175,145,TAS,Hawthorn,33.09375,33.1,
Adelaide Oval,,Adelaide,-34.915089,138.599472,53500,167,125,SA,Melbourne,18.58333333,-24.7,
Bellerive Oval,Blundstone Arena,Bellerive Oval,-42.8773,147.37208,19000,160,124,TAS,Melbourne,-4.666666667,-4.7,
Carrara,Metricon Stadium,Brisbane ,-28.01306,153.37706,22500,160,134,QLD,Melbourne,14.16666667,0.0,
Cazaly's Stadium,,Cazaly's Stadium,-16.935921,145.749023,13500,165,135,QLD,Melbourne,-17.5,-17.5,
Docklands,Marvel Stadium,Melbourne,-37.818249,144.948517,53343,159.5,128.8,VIC,Melbourne,-15.92592593,-25.9,
Football Park,AAMI Stadium,Adelaide,-34.87949,138.49352,51240,165,133,SA,Melbourne,-68,,
Gabba,,Brisbane ,-27.48442,153.03518,39202,156,138,QLD,Melbourne,-14.23333333,,
Kardinia Park,GMHBA,Melbourne,-38.145151,144.354611,36000,170,115,VIC,Melbourne,-46.66666667,,
M.C.G.,,Melbourne,-37.819511,144.980225,100024,160,141,VIC,Melbourne,-15.17236467,,Y
Manuka Oval,UNSW Canberra Oval,Manuka Oval,-35.316608,149.133957,14849,162.5,138.4,ACT,Melbourne,-18.33333333,-18.3,
Marrara Oval,TIO Stadium ,Marrara Oval,-12.39907,130.88627,12215,175,135,NT,Melbourne,-15.75,-15.8,
Perth Stadium,Optus Stadium ,Perth,-31.95428,115.89492,60156,165,130,WA,Melbourne,-22.5,-36.0,
S.C.G.,,Sydney,-33.89143,151.22352,46817,149,136,NSW,Melbourne,-44.66666667,-28.8,
Subiaco,,Perth,-31.94362,115.83462,43082,175,122,WA,Melbourne,-49.58333333,,
Sydney Showground,GIANTS Stadium ,Sydney,-33.8443,151.06755,23500,164,127.5,NSW,Melbourne,-13,,
Traeger Park,TIO Traeger Park Oval,Traeger Park,-23.71066,133.87488,7164,175,135,NT,Melbourne,-1.428571429,-1.4,
Adelaide Oval,,Adelaide,-34.915089,138.599472,53500,167,125,SA,North Melbourne,-44.64285714,-25.1,
Bellerive Oval,Blundstone Arena,Bellerive Oval,-42.8773,147.37208,19000,160,124,TAS,North Melbourne,24.83333333,24.8,Y
Carrara,Metricon Stadium,Brisbane ,-28.01306,153.37706,22500,160,134,QLD,North Melbourne,-5.607142857,4.0,
Cazaly's Stadium,,Cazaly's Stadium,-16.935921,145.749023,13500,165,135,QLD,North Melbourne,-16,-16.0,
Docklands,Marvel Stadium,Melbourne,-37.818249,144.948517,53343,159.5,128.8,VIC,North Melbourne,8.37956488,-8.0,Y
Football Park,AAMI Stadium,Adelaide,-34.87949,138.49352,51240,165,133,SA,North Melbourne,-5.5,,
Gabba,,Brisbane ,-27.48442,153.03518,39202,156,138,QLD,North Melbourne,13.58333333,,
Kardinia Park,GMHBA,Melbourne,-38.145151,144.354611,36000,170,115,VIC,North Melbourne,-24,,
M.C.G.,,Melbourne,-37.819511,144.980225,100024,160,141,VIC,North Melbourne,-8.354166667,,
Manuka Oval,UNSW Canberra Oval,Manuka Oval,-35.316608,149.133957,14849,162.5,138.4,ACT,North Melbourne,75,75.0,
Perth Stadium,Optus Stadium ,Perth,-31.95428,115.89492,60156,165,130,WA,North Melbourne,-18.75,-21.1,
S.C.G.,,Sydney,-33.89143,151.22352,46817,149,136,NSW,North Melbourne,-4.25,2.6,
Stadium Australia,ANZ,Sydney,-33.849319,151.062119,82500,170,128,NSW,North Melbourne,-22.5,,
Subiaco,,Perth,-31.94362,115.83462,43082,175,122,WA,North Melbourne,-23.5,,
Sydney Showground,GIANTS Stadium ,Sydney,-33.8443,151.06755,23500,164,127.5,NSW,North Melbourne,34.66666667,,
York Park,UTS,York Park,-41.42805,147.1384,19500,175,145,TAS,North Melbourne,-71,-71.0,
Adelaide Oval,,Adelaide,-34.915089,138.599472,53500,167,125,SA,Port Adelaide,16.002442,3.0,Y
Bellerive Oval,Blundstone Arena,Bellerive Oval,-42.8773,147.37208,19000,160,124,TAS,Port Adelaide,-10,-10.0,
Carrara,Metricon Stadium,Brisbane ,-28.01306,153.37706,22500,160,134,QLD,Port Adelaide,29.08333333,27.7,
Docklands,Marvel Stadium,Melbourne,-37.818249,144.948517,53343,159.5,128.8,VIC,Port Adelaide,-15.01041667,0.2,
Eureka Stadium,Mars Stadium,Melbourne,-37.53821,143.84903,11000,159.5,128.8,VIC,Port Adelaide,30.5,,
Football Park,AAMI Stadium,Adelaide,-34.87949,138.49352,51240,165,133,SA,Port Adelaide,-10,,Y
Gabba,,Brisbane ,-27.48442,153.03518,39202,156,138,QLD,Port Adelaide,26.25,,
Jiangwan Stadium,,Jiangwan Stadium,31.304992,121.515035,11000,160,138,China,Port Adelaide,60.66666667,60.7,
Kardinia Park,GMHBA,Melbourne,-38.145151,144.354611,36000,170,115,VIC,Port Adelaide,-21.66666667,,
M.C.G.,,Melbourne,-37.819511,144.980225,100024,160,141,VIC,Port Adelaide,6.8125,,
Manuka Oval,UNSW Canberra Oval,Manuka Oval,-35.316608,149.133957,14849,162.5,138.4,ACT,Port Adelaide,-27.33333333,-27.3,
Marrara Oval,TIO Stadium ,Marrara Oval,-12.39907,130.88627,12215,175,135,NT,Port Adelaide,9.5,9.5,
Perth Stadium,Optus Stadium ,Perth,-31.95428,115.89492,60156,165,130,WA,Port Adelaide,-7.5,-11.8,
S.C.G.,,Sydney,-33.89143,151.22352,46817,149,136,NSW,Port Adelaide,-6,7.3,
Subiaco,,Perth,-31.94362,115.83462,43082,175,122,WA,Port Adelaide,-16.11111111,,
Sydney Showground,GIANTS Stadium ,Sydney,-33.8443,151.06755,23500,164,127.5,NSW,Port Adelaide,20.5,,
Traeger Park,TIO Traeger Park Oval,Traeger Park,-23.71066,133.87488,7164,175,135,NT,Port Adelaide,42,42.0,
York Park,UTS,York Park,-41.42805,147.1384,19500,175,145,TAS,Port Adelaide,-35.33333333,-35.3,
Adelaide Oval,,Adelaide,-34.915089,138.599472,53500,167,125,SA,Richmond,-17.54761905,3.7,
Bellerive Oval,Blundstone Arena,Bellerive Oval,-42.8773,147.37208,19000,160,124,TAS,Richmond,-52.5,-52.5,
Carrara,Metricon Stadium,Brisbane ,-28.01306,153.37706,22500,160,134,QLD,Richmond,43.25714286,45.0,
Cazaly's Stadium,,Cazaly's Stadium,-16.935921,145.749023,13500,165,135,QLD,Richmond,3.5,3.5,
Docklands,Marvel Stadium,Melbourne,-37.818249,144.948517,53343,159.5,128.8,VIC,Richmond,3.324074074,1.1,
Football Park,AAMI Stadium,Adelaide,-34.87949,138.49352,51240,165,133,SA,Richmond,25,,
Gabba,,Brisbane ,-27.48442,153.03518,39202,156,138,QLD,Richmond,46.70833333,,
Kardinia Park,GMHBA,Melbourne,-38.145151,144.354611,36000,170,115,VIC,Richmond,-12,,
M.C.G.,,Melbourne,-37.819511,144.980225,100024,160,141,VIC,Richmond,11.96153846,,Y
Manuka Oval,UNSW Canberra Oval,Manuka Oval,-35.316608,149.133957,14849,162.5,138.4,ACT,Richmond,-88,-88.0,
Marrara Oval,TIO Stadium ,Marrara Oval,-12.39907,130.88627,12215,175,135,NT,Richmond,12,12.0,
Perth Stadium,Optus Stadium ,Perth,-31.95428,115.89492,60156,165,130,WA,Richmond,-11,5.4,
S.C.G.,,Sydney,-33.89143,151.22352,46817,149,136,NSW,Richmond,-47.33333333,-6.2,
Stadium Australia,ANZ,Sydney,-33.849319,151.062119,82500,170,128,NSW,Richmond,3,,
Subiaco,,Perth,-31.94362,115.83462,43082,175,122,WA,Richmond,21.83333333,,
Sydney Showground,GIANTS Stadium ,Sydney,-33.8443,151.06755,23500,164,127.5,NSW,Richmond,25.71428571,,
Adelaide Oval,,Adelaide,-34.915089,138.599472,53500,167,125,SA,St Kilda,-35.85714286,-28.9,
Bellerive Oval,Blundstone Arena,Bellerive Oval,-42.8773,147.37208,19000,160,124,TAS,St Kilda,-45,-45.0,
Carrara,Metricon Stadium,Brisbane ,-28.01306,153.37706,22500,160,134,QLD,St Kilda,2.035714286,2.7,
Docklands,Marvel Stadium,Melbourne,-37.818249,144.948517,53343,159.5,128.8,VIC,St Kilda,-2.006225256,-29.8,Y
Football Park,AAMI Stadium,Adelaide,-34.87949,138.49352,51240,165,133,SA,St Kilda,-22,,
Gabba,,Brisbane ,-27.48442,153.03518,39202,156,138,QLD,St Kilda,3.392857143,,
Jiangwan Stadium,,Jiangwan Stadium,31.304992,121.515035,11000,160,138,China,St Kilda,-70,-70.0,
Kardinia Park,GMHBA,Melbourne,-38.145151,144.354611,36000,170,115,VIC,St Kilda,-67.75,,
M.C.G.,,Melbourne,-37.819511,144.980225,100024,160,141,VIC,St Kilda,-19.51851852,,
Manuka Oval,UNSW Canberra Oval,Manuka Oval,-35.316608,149.133957,14849,162.5,138.4,ACT,St Kilda,14,14.0,
Perth Stadium,Optus Stadium ,Perth,-31.95428,115.89492,60156,165,130,WA,St Kilda,-13.25,-30.6,
Riverway Stadium,,Riverway Stadium,-19.31907,146.72989,10000,156,138,QLD,St Kilda,4,4.0,
S.C.G.,,Sydney,-33.89143,151.22352,46817,149,136,NSW,St Kilda,-49.2,-39.6,
Subiaco,,Perth,-31.94362,115.83462,43082,175,122,WA,St Kilda,-48,,
Sydney Showground,GIANTS Stadium ,Sydney,-33.8443,151.06755,23500,164,127.5,NSW,St Kilda,-30,,
Traeger Park,TIO Traeger Park Oval,Traeger Park,-23.71066,133.87488,7164,175,135,NT,St Kilda,-3,-3.0,
Wellington,Sky Stadium,Wellington,-41.276501,174.783752,34500,160,130,New Zealand,St Kilda,-19.66666667,-19.7,
York Park,UTS,York Park,-41.42805,147.1384,19500,175,145,TAS,St Kilda,12.33333333,12.3,
Adelaide Oval,,Adelaide,-34.915089,138.599472,53500,167,125,SA,Sydney,4.5,16.0,
Bellerive Oval,Blundstone Arena,Bellerive Oval,-42.8773,147.37208,19000,160,124,TAS,Sydney,17.66666667,17.7,
Carrara,Metricon Stadium,Brisbane ,-28.01306,153.37706,22500,160,134,QLD,Sydney,36.4,24.5,
Cazaly's Stadium,,Cazaly's Stadium,-16.935921,145.749023,13500,165,135,QLD,Sydney,-5.5,-5.5,
Docklands,Marvel Stadium,Melbourne,-37.818249,144.948517,53343,159.5,128.8,VIC,Sydney,29.25925926,9.5,
Football Park,AAMI Stadium,Adelaide,-34.87949,138.49352,51240,165,133,SA,Sydney,27.5,,
Gabba,,Brisbane ,-27.48442,153.03518,39202,156,138,QLD,Sydney,12.61111111,,
Kardinia Park,GMHBA,Melbourne,-38.145151,144.354611,36000,170,115,VIC,Sydney,-4.428571429,,
M.C.G.,,Melbourne,-37.819511,144.980225,100024,160,141,VIC,Sydney,3.6875,,
Perth Stadium,Optus Stadium ,Perth,-31.95428,115.89492,60156,165,130,WA,Sydney,11,15.8,
